fire_year,report_date,county,latitude,longitude,total_acres,general_cause
1980,8/16/80,Clatsop,46.14883333,-122.3810889,0.7,Arson
1980,8/17/80,Josephine,42.52759167,-122.5839139,0.1,Arson
1980,8/17/80,Josephine,42.52767778,-122.6034278,0.1,Arson
1980,8/19/80,Jackson,42.30895556,-121.0559222,8,Arson
1980,8/19/80,Douglas,42.94772778,-122.8405944,40,Arson
1980,8/21/80,Hood River,45.57093056,-120.37995,0.1,Arson
1980,8/24/80,Lane,44.01889444,-122.6180972,0.1,Arson
1980,8/25/80,Curry,42.30165,-123.5966139,3,Arson
1980,8/26/80,Wasco,45.68611667,-120.6748444,5,Arson
1980,8/27/80,Jackson,42.07610556,-121.3884111,0.1,Arson
1980,9/2/80,Crook,44.46921111,-119.2034667,0.1,Arson
1980,9/7/80,Hood River,45.61345278,-120.4448389,0.1,Arson
1980,9/9/80,Coos,43.0284,-123.9872333,0.1,Arson
1980,9/17/80,Josephine,42.04562778,-122.2897694,2,Arson
1980,9/17/80,Klamath,43.50821111,-120.2068833,0.7,Arson
1980,9/19/80,Jackson,42.39630278,-121.1933,5,Arson
1980,10/1/80,Yamhill,45.26690278,-122.6084194,0.1,Arson
1980,10/3/80,Klamath,42.14816667,-120.036475,0.1,Arson
1980,10/6/80,Coos,43.01708611,-122.0894639,0.7,Arson
1981,5/2/81,Klamath,42.29423889,-120.2524889,0.1,Arson
1981,5/28/81,Klamath,42.60993333,-120.1130333,64,Arson
1981,6/2/81,Klamath,42.74076667,-120.1709,0.1,Arson
1981,6/22/81,Klamath,42.29417778,-120.1937667,200,Arson
1981,6/25/81,Josephine,42.29358889,-122.387825,0.1,Arson
1981,7/1/81,Josephine,42.33946389,-122.6627806,0.7,Arson
1981,7/7/81,Klamath,42.32281944,-120.0373194,0.1,Arson
1981,7/8/81,Klamath,42.45268889,-121.8600333,0.1,Arson
1981,7/15/81,Klamath,42.14816667,-120.036475,0.1,Arson
1981,7/21/81,Jackson,42.4115,-122.8589056,0.1,Arson
1981,7/22/81,Josephine,42.41126111,-122.5445694,0.1,Arson
1981,7/24/81,Klamath,42.58108056,-120.2495889,0.1,Arson
1981,7/24/81,Tillamook,45.55743889,-122.1251083,1,Arson
1981,7/24/81,Klamath,42.08993611,-120.095775,0.1,Arson
1981,7/27/81,Grant,44.37055556,-117.0385694,0.1,Arson
1981,7/27/81,Grant,44.37055556,-117.0385694,0.1,Arson
1981,7/27/81,Josephine,42.26548333,-122.7210306,0.1,Arson
1981,7/27/81,Josephine,42.26548333,-122.7210306,0.1,Arson
1981,7/28/81,Grant,44.37055556,-117.0385694,0.1,Arson
1981,7/28/81,Curry,42.04391389,-123.7359472,0.1,Arson
1981,7/29/81,Klamath,42.14822222,-120.0561,3,Arson
1981,8/1/81,Jackson,42.4115,-122.8589056,60,Arson
1981,8/2/81,Josephine,42.38275,-122.6828972,0.7,Arson
1981,8/2/81,Klamath,42.14822222,-120.0561,0.1,Arson
1981,8/3/81,Jackson,42.22202778,-122.9368361,0.1,Arson
1981,8/3/81,Tillamook,45.43570278,-122.3861972,0.1,Arson
1981,8/4/81,Klamath,42.14822222,-120.0561,0.1,Arson
1981,8/8/81,Lake,42.25803056,-119.6925111,0.1,Arson
1981,8/9/81,Douglas,43.20705556,-122.7044778,1,Arson
1981,8/9/81,Clackamas,45.33872778,-120.0471833,3,Arson
1981,8/11/81,Josephine,42.1475,-122.3482472,0.1,Arson
1981,8/12/81,Douglas,43.19251944,-122.6638806,2,Arson
1981,8/13/81,Josephine,42.17790833,-122.7211972,0.1,Arson
1981,8/15/81,Josephine,42.20759167,-122.75985,0.7,Arson
1981,8/17/81,Klamath,42.19187778,-120.1546417,0.7,Arson
1981,8/17/81,Klamath,42.20635278,-121.9589222,2,Arson
1981,8/19/81,Clatsop,45.90400833,-122.0504,0.1,Arson
1981,8/19/81,Klamath,42.23573056,-120.2523472,100,Arson
1981,8/21/81,Jackson,42.46911667,-121.1141361,8,Arson
1981,8/22/81,Jackson,42.42618889,-122.878525,0.1,Arson
1981,8/24/81,Jackson,42.30891667,-121.0161778,0.1,Arson
1981,8/24/81,Klamath,43.00124722,-120.1853194,0.1,Arson
1981,8/25/81,Josephine,42.20730278,-122.72105,0.1,Arson
1981,8/27/81,Clackamas,45.38219167,-121.9651861,0.7,Arson
1981,8/28/81,Klamath,42.39623889,-120.1809778,2207,Arson
1981,8/28/81,Lane,44.13602778,-122.6383583,0.7,Arson
1981,8/31/81,Josephine,42.42631944,-122.7409889,0.1,Arson
1981,9/2/81,Jackson,42.23632778,-121.7027139,1,Arson
1981,9/6/81,Jackson,42.20729722,-121.2524,55,Arson
1981,9/6/81,Clackamas,45.38223611,-121.9857833,3,Arson
1981,9/6/81,Lane,44.16261389,-121.7689944,0.1,Arson
1981,9/6/81,Lane,44.16261389,-121.7689944,0.1,Arson
1981,9/7/81,Jackson,42.13481111,-121.4672889,225,Arson
1981,9/9/81,Coos,42.91176667,-123.9083611,0.7,Arson
1981,9/11/81,Josephine,42.20759167,-122.75985,0.7,Arson
1981,9/12/81,Lane,44.16258611,-121.7262694,0.1,Arson
1981,9/12/81,Josephine,42.26548333,-122.6619194,4,Arson
1981,9/15/81,Clatsop,45.90400833,-122.0504,0.1,Arson
1981,9/16/81,Jackson,42.28019722,-121.5458778,1,Arson
1981,9/16/81,Jackson,42.28024722,-121.565525,3,Arson
1981,9/16/81,Jackson,42.28011389,-121.5263528,10,Arson
1981,9/16/81,Jackson,42.23676944,-121.4675722,0.7,Arson
1981,9/16/81,Jackson,42.23664722,-121.4870667,0.7,Arson
1981,9/16/81,Jackson,42.28011389,-121.5263528,2,Arson
1981,9/17/81,Clatsop,45.91841389,-122.0504028,0.1,Arson
1981,9/18/81,Clatsop,45.91841389,-122.0504028,0.1,Arson
1981,9/19/81,Clatsop,45.90400833,-122.0504,0.1,Arson
1981,9/20/81,Jackson,42.19219722,-121.036425,4,Arson
1981,9/25/81,Josephine,42.45501667,-122.662325,0.1,Arson
1981,10/24/81,Lane,43.46281111,-121.6791694,2,Arson
1981,10/25/81,Lane,43.47765,-121.6591028,0.7,Arson
1975,5/13/75,Klamath,43.58040833,-120.4254083,5,Debris Burning
1975,5/13/75,Klamath,42.797525,-120.5808861,116,Debris Burning
1975,5/14/75,Grant,44.11231111,-118.6332139,30,Debris Burning
1975,5/28/75,Lane,43.74371389,-121.0423361,2,Debris Burning
1975,5/29/75,Jackson,42.35316111,-121.4286861,4,Debris Burning
1975,6/5/75,Lane,43.90795556,-123.90545,1,Debris Burning
1975,6/6/75,Coos,43.53101111,-123.7872806,3,Debris Burning
1975,6/7/75,Lincoln,44.29826389,-122.0091083,1,Debris Burning
1975,6/8/75,Wasco,45.68602778,-120.6541694,2,Debris Burning
1975,6/10/75,Polk,44.96255,-122.2870472,42,Debris Burning
1975,6/12/75,Jackson,42.67261389,-121.3509,2,Debris Burning
1975,6/13/75,Clatsop,46.06099722,-122.2952444,1,Debris Burning
1975,6/16/75,Polk,44.96255,-122.2870472,9,Debris Burning
1975,6/19/75,Wallowa,45.41899167,-116.57395,1,Debris Burning
1975,6/19/75,Grant,44.81781389,-118.5405167,12,Debris Burning
1975,7/3/75,Jackson,42.512675,-121.1337806,4.75,Debris Burning
1975,7/12/75,Douglas,43.42495556,-122.6835361,1,Debris Burning
1975,7/22/75,Tillamook,45.32395833,-122.5269194,2,Debris Burning
1975,7/28/75,Klamath,42.65153611,-120.9541389,20,Debris Burning
1975,8/6/75,Tillamook,45.40944722,-122.2474222,5,Debris Burning
1975,8/10/75,Jackson,42.26573056,-121.1344583,20,Debris Burning
1975,8/12/75,Douglas,43.35228333,-122.6638639,3,Debris Burning
1975,8/13/75,Tillamook,45.22448056,-122.0852028,2,Debris Burning
1975,8/21/75,Lane,43.89350833,-123.8842778,2,Debris Burning
1975,9/8/75,Douglas,42.93338611,-122.7427611,2,Debris Burning
1975,9/10/75,Columbia,46.09180556,-122.9158306,4,Debris Burning
1975,9/11/75,Tillamook,45.42538333,-122.2679889,8,Debris Burning
